strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_10usd
FAST_TP80_SL25,jupiter,120,median_3,30,50.0,12.1,-0.93,36.3
FAST_TP80_SL25,jupiter,120,median_5,30,50.0,10.07,-0.93,30.22
FAST_TP80_SL25,jupiter,120,winsor_p95,30,53.3,12.56,7.79,37.69
FAST_TP80_SL25,jupiter,120,dual_confirm,30,53.3,13.23,7.79,39.7
FAST_TP80_SL25,jupiter,120,ema_fast,30,53.3,12.87,7.79,38.62
FAST_TP80_SL25,jupiter,120,ema_slow,30,53.3,11.28,7.79,33.84
FAST_TP80_SL25,jupiter,120,hysteresis,30,53.3,4.35,7.79,13.04
FAST_TP80_SL25,jupiter,120,volume_gated,30,50.0,11.27,-0.93,33.82
FAST_TP80_SL25,dexscreener,60,raw,30,46.7,6.6,-9.35,19.8
FAST_TP80_SL25,dexscreener,60,median_3,30,50.0,7.92,-3.74,23.76
FAST_TP80_SL25,dexscreener,60,median_5,30,46.7,7.02,-9.35,21.06
FAST_TP80_SL25,dexscreener,60,winsor_p95,30,46.7,7.02,-9.35,21.06
FAST_TP80_SL25,dexscreener,60,dual_confirm,30,53.3,11.43,1.49,34.28
FAST_TP80_SL25,dexscreener,60,ema_fast,30,46.7,7.02,-9.35,21.06
FAST_TP80_SL25,dexscreener,60,ema_slow,30,53.3,8.88,1.49,26.64
FAST_TP80_SL25,dexscreener,60,hysteresis,30,53.3,1.98,1.49,5.95
FAST_TP80_SL25,dexscreener,60,volume_gated,30,46.7,6.6,-9.35,19.8
FAST_TP80_SL25,dexscreener,120,raw,30,50.0,11.12,-2.01,33.36
FAST_TP80_SL25,dexscreener,120,median_3,30,50.0,12.23,-2.01,36.69
FAST_TP80_SL25,dexscreener,120,median_5,30,50.0,8.47,-2.01,25.41
FAST_TP80_SL25,dexscreener,120,winsor_p95,30,53.3,8.68,3.21,26.03
FAST_TP80_SL25,dexscreener,120,dual_confirm,30,53.3,13.18,3.21,39.53
FAST_TP80_SL25,dexscreener,120,ema_fast,30,53.3,12.44,3.21,37.33
FAST_TP80_SL25,dexscreener,120,ema_slow,30,53.3,8.08,3.21,24.23
FAST_TP80_SL25,dexscreener,120,hysteresis,30,53.3,3.87,3.21,11.6
FAST_TP80_SL25,dexscreener,120,volume_gated,30,50.0,11.12,-2.01,33.36
FAST_TP80_SL25,both,60,raw,30,46.7,6.56,-9.28,19.68
FAST_TP80_SL25,both,60,median_3,30,50.0,7.79,-3.12,23.36
FAST_TP80_SL25,both,60,median_5,30,46.7,6.27,-9.28,18.81
FAST_TP80_SL25,both,60,winsor_p95,30,50.0,10.2,-3.12,30.6
FAST_TP80_SL25,both,60,dual_confirm,30,53.3,10.91,3.1,32.73
FAST_TP80_SL25,both,60,ema_fast,30,50.0,10.2,-3.12,30.6
FAST_TP80_SL25,both,60,ema_slow,30,53.3,8.67,3.1,26.0
FAST_TP80_SL25,both,60,hysteresis,30,53.3,2.11,3.1,6.32
FAST_TP80_SL25,both,60,volume_gated,30,46.7,6.56,-9.28,19.68
FAST_TP80_SL25,both,120,raw,30,50.0,10.93,-0.93,32.8
FAST_TP80_SL25,both,120,median_3,30,50.0,11.74,-0.93,35.21
FAST_TP80_SL25,both,120,median_5,30,50.0,9.71,-0.93,29.13
FAST_TP80_SL25,both,120,winsor_p95,30,53.3,12.2,7.79,36.6
FAST_TP80_SL25,both,120,dual_confirm,30,53.3,12.87,7.79,38.61
FAST_TP80_SL25,both,120,ema_fast,30,53.3,12.51,7.79,37.53
FAST_TP80_SL25,both,120,ema_slow,30,53.3,10.92,7.79,32.75
FAST_TP80_SL25,both,120,hysteresis,30,53.3,3.99,7.79,11.96
FAST_TP80_SL25,both,120,volume_gated,30,50.0,10.93,-0.93,32.8
BE25_TP80_SL30,jupiter,60,raw,30,50.0,10.37,1.05,31.1
BE25_TP80_SL30,jupiter,60,median_3,30,50.0,11.52,1.05,34.56
BE25_TP80_SL30,jupiter,60,median_5,30,50.0,9.52,1.05,28.57
BE25_TP80_SL30,jupiter,60,winsor_p95,30,50.0,9.52,1.05,28.57
BE25_TP80_SL30,jupiter,60,dual_confirm,30,50.0,11.14,1.05,33.42
BE25_TP80_SL30,jupiter,60,ema_fast,30,50.0,10.52,1.05,31.57
BE25_TP80_SL30,jupiter,60,ema_slow,30,53.3,8.05,3.1,24.15
BE25_TP80_SL30,jupiter,60,hysteresis,30,50.0,6.75,1.05,20.25
BE25_TP80_SL30,jupiter,60,volume_gated,30,50.0,10.37,1.05,31.1
BE25_TP80_SL30,jupiter,120,raw,30,50.0,11.64,3.23,34.91
BE25_TP80_SL30,jupiter,120,median_3,30,50.0,12.1,3.23,36.3
BE25_TP80_SL30,jupiter,120,median_5,30,50.0,10.44,3.23,31.31
BE25_TP80_SL30,jupiter,120,winsor_p95,30,50.0,12.79,3.23,38.37
BE25_TP80_SL30,jupiter,120,dual_confirm,30,50.0,13.1,3.23,39.29
BE25_TP80_SL30,jupiter,120,ema_fast,30,53.3,13.4,7.79,40.2
BE25_TP80_SL30,jupiter,120,ema_slow,30,53.3,11.8,7.79,35.41
BE25_TP80_SL30,jupiter,120,hysteresis,30,50.0,8.83,3.23,26.5
BE25_TP80_SL30,jupiter,120,volume_gated,30,50.0,11.64,3.23,34.91
BE25_TP80_SL30,dexscreener,60,raw,30,43.3,5.55,-0.3,16.66
BE25_TP80_SL30,dexscreener,60,median_3,30,46.7,7.82,-0.3,23.47
BE25_TP80_SL30,dexscreener,60,median_5,30,46.7,5.83,-4.5,17.49
BE25_TP80_SL30,dexscreener,60,winsor_p95,30,43.3,5.97,-0.3,17.92
BE25_TP80_SL30,dexscreener,60,dual_confirm,30,46.7,10.64,-0.3,31.93
BE25_TP80_SL30,dexscreener,60,ema_fast,30,50.0,10.5,0.46,31.49
BE25_TP80_SL30,dexscreener,60,ema_slow,30,53.3,9.62,1.49,28.85
BE25_TP80_SL30,dexscreener,60,hysteresis,30,43.3,4.56,-0.3,13.68
BE25_TP80_SL30,dexscreener,60,volume_gated,30,43.3,5.55,-0.3,16.66
BE25_TP80_SL30,dexscreener,120,raw,30,50.0,11.47,2.19,34.4
BE25_TP80_SL30,dexscreener,120,median_3,30,50.0,13.28,2.19,39.84
BE25_TP80_SL30,dexscreener,120,median_5,30,46.7,4.52,-0.57,13.57
BE25_TP80_SL30,dexscreener,120,winsor_p95,30,50.0,10.93,2.19,32.78
BE25_TP80_SL30,dexscreener,120,dual_confirm,30,50.0,14.28,2.19,42.83
BE25_TP80_SL30,dexscreener,120,ema_fast,30,53.3,13.45,3.21,40.34
BE25_TP80_SL30,dexscreener,120,ema_slow,30,53.3,11.04,3.21,33.12
BE25_TP80_SL30,dexscreener,120,hysteresis,30,50.0,8.58,2.19,25.75
BE25_TP80_SL30,dexscreener,120,volume_gated,30,50.0,11.47,2.19,34.4
BE25_TP80_SL30,both,60,raw,30,50.0,10.02,1.05,30.07
BE25_TP80_SL30,both,60,median_3,30,50.0,11.16,1.05,33.47
BE25_TP80_SL30,both,60,median_5,30,50.0,8.78,1.05,26.34
BE25_TP80_SL30,both,60,winsor_p95,30,50.0,9.16,1.05,27.49
BE25_TP80_SL30,both,60,dual_confirm,30,50.0,10.78,1.05,32.33
BE25_TP80_SL30,both,60,ema_fast,30,50.0,10.16,1.05,30.48
BE25_TP80_SL30,both,60,ema_slow,30,53.3,7.69,3.1,23.06
BE25_TP80_SL30,both,60,hysteresis,30,50.0,6.59,1.05,19.78
BE25_TP80_SL30,both,60,volume_gated,30,50.0,10.02,1.05,30.07
BE25_TP80_SL30,both,120,raw,30,50.0,11.29,3.23,33.88
BE25_TP80_SL30,both,120,median_3,30,50.0,11.74,3.23,35.21
BE25_TP80_SL30,both,120,median_5,30,50.0,10.07,3.23,30.22
BE25_TP80_SL30,both,120,winsor_p95,30,50.0,12.43,3.23,37.28
BE25_TP80_SL30,both,120,dual_confirm,30,50.0,12.73,3.23,38.2
BE25_TP80_SL30,both,120,ema_fast,30,53.3,13.04,7.79,39.11
BE25_TP80_SL30,both,120,ema_slow,30,53.3,11.44,7.79,34.32
BE25_TP80_SL30,both,120,hysteresis,30,50.0,8.47,3.23,25.41
BE25_TP80_SL30,both,120,volume_gated,30,50.0,11.29,3.23,33.88
BE30_TP100_SL30,jupiter,60,raw,30,50.0,8.83,1.05,26.5
BE30_TP100_SL30,jupiter,60,median_3,30,50.0,9.83,1.05,29.49
BE30_TP100_SL30,jupiter,60,median_5,30,50.0,6.7,-3.12,20.1
BE30_TP100_SL30,jupiter,60,winsor_p95,30,50.0,7.79,1.05,23.36
BE30_TP100_SL30,jupiter,60,dual_confirm,30,50.0,8.78,1.05,26.35
BE30_TP100_SL30,jupiter,60,ema_fast,30,50.0,8.78,1.05,26.35
BE30_TP100_SL30,jupiter,60,ema_slow,30,53.3,8.72,3.1,26.15
BE30_TP100_SL30,jupiter,60,hysteresis,30,50.0,4.62,1.05,13.85
BE30_TP100_SL30,jupiter,60,volume_gated,30,50.0,8.83,1.05,26.5
BE30_TP100_SL30,jupiter,120,raw,30,50.0,9.74,3.23,29.23
BE30_TP100_SL30,jupiter,120,median_3,30,50.0,8.61,3.23,25.83
BE30_TP100_SL30,jupiter,120,median_5,30,50.0,10.11,3.23,30.32
BE30_TP100_SL30,jupiter,120,winsor_p95,30,50.0,10.74,3.23,32.23
BE30_TP100_SL30,jupiter,120,dual_confirm,30,50.0,9.61,3.23,28.82
BE30_TP100_SL30,jupiter,120,ema_fast,30,53.3,11.04,7.79,33.14
BE30_TP100_SL30,jupiter,120,ema_slow,30,53.3,8.42,7.79,25.27
BE30_TP100_SL30,jupiter,120,hysteresis,30,50.0,6.7,3.23,20.11
BE30_TP100_SL30,jupiter,120,volume_gated,30,50.0,9.74,3.23,29.23
BE30_TP100_SL30,dexscreener,60,raw,30,43.3,6.31,-4.5,18.93
BE30_TP100_SL30,dexscreener,60,median_3,30,46.7,7.15,-0.3,21.46
BE30_TP100_SL30,dexscreener,60,median_5,30,46.7,5.16,-9.35,15.48
BE30_TP100_SL30,dexscreener,60,winsor_p95,30,43.3,5.3,-4.5,15.92
BE30_TP100_SL30,dexscreener,60,dual_confirm,30,46.7,8.01,-0.3,24.04
BE30_TP100_SL30,dexscreener,60,ema_fast,30,50.0,7.87,0.46,23.6
BE30_TP100_SL30,dexscreener,60,ema_slow,30,53.3,7.24,1.49,21.71
BE30_TP100_SL30,dexscreener,60,hysteresis,30,43.3,2.41,-0.3,7.24
BE30_TP100_SL30,dexscreener,60,volume_gated,30,43.3,6.31,-4.5,18.93
BE30_TP100_SL30,dexscreener,120,raw,30,50.0,13.55,2.19,40.66
BE30_TP100_SL30,dexscreener,120,median_3,30,50.0,9.5,2.19,28.5
