strategy,type,mode,filter,horizon,trail_n,sl_n,tp_n,tmo_n,early_exit_n,avg_peak,avg_peak_drop,n_trades,wr_pct,avg_pnl_pct,median_pnl_pct,sharpe,kelly,final_bankroll,max_dd_pct,total_pnl_usd
TP150_SL40,FIXED,LAZY_XSLOW,ALL,360,0,33,2,48,0,46.8,37.9,83,28.915662650602407,-7.1487951807228916,-36.5,-0.4878124086409351,-0.1116766587282268,188.36104364802551,66.7971841657639,-311.63895635197446
TP40_SL70,FIXED,LAZY_STD,ALL,60,0,14,21,48,10,35.4,33.4,83,42.168674698795186,-7.8828915662650605,-7.88,-0.7019809330312738,-0.2116342362862358,188.35034276014488,71.17366188840798,-311.6496572398551
BE30_TP50_SL70,BE,LAZY_STD,ALL,240,0,36,16,31,6,42.0,36.6,83,31.32530120481928,-7.75144578313253,-1.05,-0.6549665553813968,-0.1629179017513001,188.21793881122215,69.70924190633056,-311.78206118877785
BE30_TP50_SL70,BE,LAZY_STD,ALL,360,0,36,16,31,6,42.0,36.6,83,31.32530120481928,-7.75144578313253,-1.05,-0.6549665553813968,-0.1629179017513001,188.21793881122215,69.70924190633056,-311.78206118877785
BE20_TP70_SL70,BE,CURRENT,ALL,240,0,49,12,22,10,32.3,33.1,83,21.686746987951807,-8.081325301204819,-0.8,-0.7721660862132321,-0.16310715654517868,187.95120292005748,63.62053881168259,-312.0487970799425
BE20_TP70_SL70,BE,FAST_15,ALL,240,0,49,12,22,10,32.3,33.1,83,21.686746987951807,-8.081325301204819,-0.8,-0.7721660862132321,-0.16310715654517868,187.95120292005748,63.62053881168259,-312.0487970799425
BE20_TP70_SL70,BE,FAST_30,ALL,240,0,49,12,22,10,36.9,34.2,83,21.686746987951807,-8.081325301204819,-0.8,-0.7721660862132321,-0.16310715654517868,187.95120292005748,63.62053881168259,-312.0487970799425
BE20_TP70_SL70,BE,CURRENT,ALL,360,0,49,12,22,10,32.3,33.1,83,21.686746987951807,-8.081325301204819,-0.8,-0.7721660862132321,-0.16310715654517868,187.95120292005748,63.62053881168259,-312.0487970799425
BE20_TP70_SL70,BE,FAST_15,ALL,360,0,49,12,22,10,32.3,33.1,83,21.686746987951807,-8.081325301204819,-0.8,-0.7721660862132321,-0.16310715654517868,187.95120292005748,63.62053881168259,-312.0487970799425
BE20_TP70_SL70,BE,FAST_30,ALL,360,0,49,12,22,10,36.9,34.2,83,21.686746987951807,-8.081325301204819,-0.8,-0.7721660862132321,-0.16310715654517868,187.95120292005748,63.62053881168259,-312.0487970799425
TRAIL20_TP150_SL70,TRAIL,LAZY_MED,ALL,120,35,16,3,29,3,39.7,36.6,83,37.34939759036144,-7.610963855421686,-7.88,-0.6006684077551573,-0.18644299358193916,187.85540183792048,68.72850242186558,-312.14459816207955
TP100_SL50,FIXED,LAZY_SLOW,ALL,60,0,24,4,55,0,45.7,36.9,83,34.93975903614458,-7.663734939759036,-15.629999999999999,-0.6132276304974712,-0.15939777182314563,187.77938243960344,67.41336212127696,-312.2206175603966
TRAIL15_TP150_SL70,TRAIL,LAZY_MED,ALL,120,43,14,3,23,5,36.5,34.8,83,36.144578313253014,-7.806385542168674,-8.129999999999999,-0.6547512493712527,-0.21118506525606456,187.72391307174647,68.0073109608401,-312.27608692825356
BE30_TP100_SL50,BE,LAZY_MED,ALL,240,0,52,4,27,3,40.9,35.9,83,20.481927710843372,-8.256746987951805,-1.05,-0.838061132265526,-0.17112637617670517,187.69378867686956,63.67036340085194,-312.30621132313047
BE30_TP100_SL50,BE,LAZY_MED,ALL,360,0,52,4,27,3,40.9,35.9,83,20.481927710843372,-8.256746987951805,-1.05,-0.838061132265526,-0.17112637617670517,187.69378867686956,63.67036340085194,-312.30621132313047
TRAIL15_TP100_SL60,TRAIL,LAZY_SLOW,ALL,240,40,17,3,23,0,39.9,34.7,83,39.75903614457831,-8.154819277108434,-4.75,-0.7958551921133894,-0.27487593322360954,187.68201865403137,66.01767449695457,-312.31798134596863
TRAIL15_TP100_SL60,TRAIL,LAZY_SLOW,ALL,360,40,17,3,23,0,39.9,34.7,83,39.75903614457831,-8.154819277108434,-4.75,-0.7958551921133894,-0.27487593322360954,187.68201865403137,66.01767449695457,-312.31798134596863
TP100_SL40,FIXED,LAZY_SLOW,ALL,120,0,34,4,45,0,47.3,37.2,83,28.915662650602407,-7.9159036144578305,-25.919999999999998,-0.6830639995135857,-0.15219598864587625,187.4701994984131,67.51511417160701,-312.5298005015869
DTRAIL20_ACT5_SL70,DTRAIL,LAZY_STD,ALL,120,35,16,0,32,1,43.4,38.2,83,40.963855421686745,-7.102530120481927,-9.610000000000001,-0.47483749464647007,-0.16761249364658826,187.24112743923664,75.34355982730342,-312.7588725607634
DTRAIL20_ACT10_SL70,DTRAIL,LAZY_STD,ALL,120,35,16,0,32,1,43.4,38.2,83,40.963855421686745,-7.102530120481927,-9.610000000000001,-0.47483749464647007,-0.16761249364658826,187.24112743923664,75.34355982730342,-312.7588725607634
DTRAIL20_ACT15_SL70,DTRAIL,LAZY_STD,ALL,120,35,16,0,32,1,43.4,38.2,83,40.963855421686745,-7.102530120481927,-9.610000000000001,-0.47483749464647007,-0.16761249364658826,187.24112743923664,75.34355982730342,-312.7588725607634
DTRAIL20_ACT20_SL70,DTRAIL,LAZY_STD,ALL,120,35,16,0,32,1,43.4,38.2,83,40.963855421686745,-7.102530120481927,-9.610000000000001,-0.47483749464647007,-0.16761249364658826,187.24112743923664,75.34355982730342,-312.7588725607634
DTRAIL20_ACT30_SL70,DTRAIL,CURRENT,ALL,180,39,20,0,24,3,41.7,37.6,83,46.98795180722892,-7.261686746987952,-1.48,-0.5047811516360802,-0.20889695743407927,187.15545253341517,68.76230946708205,-312.8445474665848
DTRAIL20_ACT30_SL70,DTRAIL,CURRENT,ALL,240,39,20,0,24,3,41.7,37.6,83,46.98795180722892,-7.261686746987952,-1.48,-0.5047811516360802,-0.20889695743407927,187.15545253341517,68.76230946708205,-312.8445474665848
DTRAIL20_ACT30_SL70,DTRAIL,CURRENT,ALL,360,39,20,0,24,3,41.7,37.6,83,46.98795180722892,-7.261686746987952,-1.48,-0.5047811516360802,-0.20889695743407927,187.15545253341517,68.76230946708205,-312.8445474665848
BE20_TP100_SL70,BE,LAZY_SLOW,ALL,240,0,46,4,33,0,42.5,36.2,83,21.686746987951807,-8.030963855421687,-0.8,-0.7276268941504968,-0.16090891315210756,186.7120509844718,67.91699965953659,-313.28794901552817
BE20_TP100_SL70,BE,LAZY_SLOW,ALL,360,0,46,4,33,0,42.5,36.2,83,21.686746987951807,-8.030963855421687,-0.8,-0.7276268941504968,-0.16090891315210756,186.7120509844718,67.91699965953659,-313.28794901552817
