strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_usd
FAST_TP50_SL30,dexscreener,120,raw,30,50.0,3.6,-2.01,30.89
FAST_TP50_SL30,dexscreener,120,median_3,30,50.0,3.63,-2.01,28.83
FAST_TP50_SL30,dexscreener,120,median_5,30,50.0,4.11,-2.01,61.13
FAST_TP50_SL30,dexscreener,120,winsor_p95,30,53.3,3.02,3.21,41.95
FAST_TP50_SL30,dexscreener,120,dual_confirm,30,53.3,6.12,3.21,66.1
FAST_TP50_SL30,dexscreener,120,ema_fast,30,53.3,5.15,3.21,54.22
FAST_TP50_SL30,dexscreener,120,ema_slow,30,53.3,3.83,3.21,41.65
FAST_TP50_SL30,dexscreener,120,hysteresis,30,53.3,3.87,3.21,56.74
FAST_TP50_SL30,dexscreener,120,volume_gated,30,50.0,3.6,-2.01,30.89
FAST_TP50_SL30,both,0,raw,30,50.0,3.47,-3.12,31.31
FAST_TP50_SL30,both,0,median_3,30,53.3,4.63,4.58,50.4
FAST_TP50_SL30,both,0,median_5,30,50.0,2.2,-3.12,13.88
FAST_TP50_SL30,both,0,winsor_p95,30,50.0,3.33,-3.12,30.9
FAST_TP50_SL30,both,0,dual_confirm,30,53.3,4.63,4.58,50.4
FAST_TP50_SL30,both,0,ema_fast,30,53.3,4.63,4.58,50.4
FAST_TP50_SL30,both,0,ema_slow,30,53.3,4.93,4.58,50.67
FAST_TP50_SL30,both,0,hysteresis,30,53.3,2.08,4.58,53.58
FAST_TP50_SL30,both,0,volume_gated,30,50.0,3.47,-3.12,31.31
FAST_TP50_SL30,both,30,raw,30,50.0,3.47,-3.12,31.31
FAST_TP50_SL30,both,30,median_3,30,53.3,4.63,4.58,50.4
FAST_TP50_SL30,both,30,median_5,30,50.0,2.2,-3.12,13.88
FAST_TP50_SL30,both,30,winsor_p95,30,50.0,3.33,-3.12,30.9
FAST_TP50_SL30,both,30,dual_confirm,30,53.3,4.63,4.58,50.4
FAST_TP50_SL30,both,30,ema_fast,30,53.3,4.63,4.58,50.4
FAST_TP50_SL30,both,30,ema_slow,30,53.3,4.93,4.58,50.67
FAST_TP50_SL30,both,30,hysteresis,30,53.3,2.08,4.58,53.58
FAST_TP50_SL30,both,30,volume_gated,30,50.0,3.47,-3.12,31.31
FAST_TP50_SL30,both,60,raw,30,50.0,3.29,-3.12,30.98
FAST_TP50_SL30,both,60,median_3,30,53.3,4.45,3.1,50.07
FAST_TP50_SL30,both,60,median_5,30,50.0,2.02,-3.12,13.55
FAST_TP50_SL30,both,60,winsor_p95,30,50.0,3.15,-3.12,30.57
FAST_TP50_SL30,both,60,dual_confirm,30,53.3,4.45,3.1,50.07
FAST_TP50_SL30,both,60,ema_fast,30,53.3,4.45,3.1,50.07
FAST_TP50_SL30,both,60,ema_slow,30,53.3,5.56,3.1,58.57
FAST_TP50_SL30,both,60,hysteresis,30,53.3,2.11,3.1,53.89
FAST_TP50_SL30,both,60,volume_gated,30,50.0,3.29,-3.12,30.98
FAST_TP50_SL30,both,120,raw,30,50.0,3.78,-0.93,32.72
FAST_TP50_SL30,both,120,median_3,30,50.0,3.13,-0.93,22.94
FAST_TP50_SL30,both,120,median_5,30,50.0,5.75,-0.93,57.39
FAST_TP50_SL30,both,120,winsor_p95,30,53.3,3.42,7.79,47.24
FAST_TP50_SL30,both,120,dual_confirm,30,53.3,5.56,7.79,59.41
FAST_TP50_SL30,both,120,ema_fast,30,53.3,5.08,7.79,52.22
FAST_TP50_SL30,both,120,ema_slow,30,53.3,5.39,7.79,58.28
FAST_TP50_SL30,both,120,hysteresis,30,53.3,3.99,7.79,59.5
FAST_TP50_SL30,both,120,volume_gated,30,50.0,3.78,-0.93,32.72
DTRAIL10_ACT15_SL70,jupiter,0,raw,30,60.0,-3.57,2.26,-147.7
DTRAIL10_ACT15_SL70,jupiter,0,median_3,30,53.3,-5.02,1.58,-153.7
DTRAIL10_ACT15_SL70,jupiter,0,median_5,30,50.0,-3.8,0.23,-156.88
DTRAIL10_ACT15_SL70,jupiter,0,winsor_p95,30,56.7,-5.65,1.8,-181.43
DTRAIL10_ACT15_SL70,jupiter,0,dual_confirm,30,60.0,-3.57,2.26,-147.7
DTRAIL10_ACT15_SL70,jupiter,0,ema_fast,30,50.0,-4.79,-0.07,-134.39
DTRAIL10_ACT15_SL70,jupiter,0,ema_slow,30,46.7,-1.51,-1.22,-40.35
DTRAIL10_ACT15_SL70,jupiter,0,hysteresis,30,60.0,-4.68,2.26,-167.42
DTRAIL10_ACT15_SL70,jupiter,0,volume_gated,30,60.0,-3.57,2.26,-147.7
DTRAIL10_ACT15_SL70,jupiter,30,raw,30,60.0,-3.57,2.26,-147.7
DTRAIL10_ACT15_SL70,jupiter,30,median_3,30,53.3,-5.02,1.58,-153.7
DTRAIL10_ACT15_SL70,jupiter,30,median_5,30,50.0,-3.8,0.23,-156.88
DTRAIL10_ACT15_SL70,jupiter,30,winsor_p95,30,56.7,-5.65,1.8,-181.43
DTRAIL10_ACT15_SL70,jupiter,30,dual_confirm,30,60.0,-3.57,2.26,-147.7
DTRAIL10_ACT15_SL70,jupiter,30,ema_fast,30,50.0,-4.79,-0.07,-134.39
DTRAIL10_ACT15_SL70,jupiter,30,ema_slow,30,46.7,-1.51,-1.22,-40.35
DTRAIL10_ACT15_SL70,jupiter,30,hysteresis,30,60.0,-4.68,2.26,-167.42
DTRAIL10_ACT15_SL70,jupiter,30,volume_gated,30,60.0,-3.57,2.26,-147.7
DTRAIL10_ACT15_SL70,jupiter,60,raw,30,60.0,-4.0,2.26,-154.1
DTRAIL10_ACT15_SL70,jupiter,60,median_3,30,53.3,-4.84,1.09,-150.92
DTRAIL10_ACT15_SL70,jupiter,60,median_5,30,53.3,-0.89,1.47,-97.49
DTRAIL10_ACT15_SL70,jupiter,60,winsor_p95,30,56.7,-4.86,2.26,-169.62
DTRAIL10_ACT15_SL70,jupiter,60,dual_confirm,30,60.0,-4.0,2.26,-154.1
DTRAIL10_ACT15_SL70,jupiter,60,ema_fast,30,53.3,-1.9,5.42,-90.88
DTRAIL10_ACT15_SL70,jupiter,60,ema_slow,30,46.7,2.03,-1.13,58.1
DTRAIL10_ACT15_SL70,jupiter,60,hysteresis,30,60.0,-5.11,2.26,-173.82
DTRAIL10_ACT15_SL70,jupiter,60,volume_gated,30,60.0,-4.0,2.26,-154.1
DTRAIL10_ACT15_SL70,jupiter,120,raw,30,53.3,-0.89,2.02,-83.57
DTRAIL10_ACT15_SL70,jupiter,120,median_3,30,50.0,0.35,0.32,-46.74
DTRAIL10_ACT15_SL70,jupiter,120,median_5,30,53.3,-0.59,1.47,-71.99
DTRAIL10_ACT15_SL70,jupiter,120,winsor_p95,30,50.0,-0.98,-0.53,-65.17
DTRAIL10_ACT15_SL70,jupiter,120,dual_confirm,30,53.3,-0.89,2.02,-83.57
DTRAIL10_ACT15_SL70,jupiter,120,ema_fast,30,53.3,-4.04,2.02,-126.26
DTRAIL10_ACT15_SL70,jupiter,120,ema_slow,30,56.7,-2.25,2.04,-79.41
DTRAIL10_ACT15_SL70,jupiter,120,hysteresis,30,53.3,-2.0,2.02,-103.29
DTRAIL10_ACT15_SL70,jupiter,120,volume_gated,30,53.3,-0.89,2.02,-83.57
DTRAIL10_ACT15_SL70,dexscreener,0,raw,30,63.3,-0.47,6.52,-40.2
DTRAIL10_ACT15_SL70,dexscreener,0,median_3,30,46.7,-7.54,-0.36,-212.84
DTRAIL10_ACT15_SL70,dexscreener,0,median_5,30,50.0,-4.14,0.17,-146.08
DTRAIL10_ACT15_SL70,dexscreener,0,winsor_p95,30,53.3,-5.89,1.35,-198.83
DTRAIL10_ACT15_SL70,dexscreener,0,dual_confirm,30,63.3,-0.47,6.52,-40.2
DTRAIL10_ACT15_SL70,dexscreener,0,ema_fast,30,50.0,-3.05,0.42,-159.77
DTRAIL10_ACT15_SL70,dexscreener,0,ema_slow,30,43.3,0.35,-4.83,-7.87
DTRAIL10_ACT15_SL70,dexscreener,0,hysteresis,30,63.3,-1.58,6.52,-60.03
DTRAIL10_ACT15_SL70,dexscreener,0,volume_gated,30,63.3,-0.47,6.52,-40.2
DTRAIL10_ACT15_SL70,dexscreener,30,raw,30,63.3,-0.47,6.52,-40.2
DTRAIL10_ACT15_SL70,dexscreener,30,median_3,30,46.7,-7.54,-0.36,-212.84
DTRAIL10_ACT15_SL70,dexscreener,30,median_5,30,50.0,-4.14,0.17,-146.08
DTRAIL10_ACT15_SL70,dexscreener,30,winsor_p95,30,53.3,-5.89,1.35,-198.83
DTRAIL10_ACT15_SL70,dexscreener,30,dual_confirm,30,63.3,-0.47,6.52,-40.2
DTRAIL10_ACT15_SL70,dexscreener,30,ema_fast,30,50.0,-3.05,0.42,-159.77
DTRAIL10_ACT15_SL70,dexscreener,30,ema_slow,30,43.3,0.35,-4.83,-7.87
DTRAIL10_ACT15_SL70,dexscreener,30,hysteresis,30,63.3,-1.58,6.52,-60.03
DTRAIL10_ACT15_SL70,dexscreener,30,volume_gated,30,63.3,-0.47,6.52,-40.2
DTRAIL10_ACT15_SL70,dexscreener,60,raw,30,63.3,0.73,6.52,-21.44
DTRAIL10_ACT15_SL70,dexscreener,60,median_3,30,50.0,-5.17,0.59,-172.68
DTRAIL10_ACT15_SL70,dexscreener,60,median_5,30,50.0,-1.99,0.17,-111.91
DTRAIL10_ACT15_SL70,dexscreener,60,winsor_p95,30,56.7,-3.77,1.69,-165.95
DTRAIL10_ACT15_SL70,dexscreener,60,dual_confirm,30,63.3,0.73,6.52,-21.44
DTRAIL10_ACT15_SL70,dexscreener,60,ema_fast,30,50.0,-4.37,0.42,-178.85
DTRAIL10_ACT15_SL70,dexscreener,60,ema_slow,30,46.7,2.08,-0.57,45.37
DTRAIL10_ACT15_SL70,dexscreener,60,hysteresis,30,63.3,-0.38,6.52,-41.27
DTRAIL10_ACT15_SL70,dexscreener,60,volume_gated,30,63.3,0.73,6.52,-21.44
DTRAIL10_ACT15_SL70,dexscreener,120,raw,30,53.3,-1.14,3.82,-59.08
DTRAIL10_ACT15_SL70,dexscreener,120,median_3,30,53.3,2.13,11.84,16.9
DTRAIL10_ACT15_SL70,dexscreener,120,median_5,30,53.3,2.64,4.3,23.44
DTRAIL10_ACT15_SL70,dexscreener,120,winsor_p95,30,56.7,2.01,9.4,16.92
DTRAIL10_ACT15_SL70,dexscreener,120,dual_confirm,30,53.3,-1.14,3.82,-59.08
DTRAIL10_ACT15_SL70,dexscreener,120,ema_fast,30,53.3,-1.01,8.95,-49.93
DTRAIL10_ACT15_SL70,dexscreener,120,ema_slow,30,60.0,0.35,16.59,-10.93
DTRAIL10_ACT15_SL70,dexscreener,120,hysteresis,30,53.3,-2.25,3.82,-78.91
DTRAIL10_ACT15_SL70,dexscreener,120,volume_gated,30,53.3,-1.14,3.82,-59.08
DTRAIL10_ACT15_SL70,both,0,raw,30,60.0,-2.97,2.51,-128.42
