rank,name,whitelist,type,n_trades,wr_pct,avg_pnl_pct,median_pnl_pct,sharpe,max_dd_pct,kelly,final_bankroll,total_pnl_usd
1,DECAY_TP100_E20_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
2,DECAY_TP100_E15_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
3,DECAY_TP100_E30_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
4,DECAY_TP70_E15_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
5,DECAY_TP100_E10_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
6,DECAY_TP50_E10_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
7,DECAY_TP50_E20_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
8,DECAY_TP150_E20_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
9,DECAY_TP150_E30_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
10,DECAY_TP200_E30_SL40_360m,NO,DECAY,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
11,SPLIT_50_100_SL40_360m,NO,SPLIT,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
12,SPLIT_50_TRAIL_SL40_360m,NO,SPLIT,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
13,SPLIT_30_100_SL40_360m,NO,SPLIT,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
14,SPLIT_50_150_SL40_360m,NO,SPLIT,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
15,SPLIT_30_TRAIL_SL40_360m,NO,SPLIT,94,14.893617021276595,45.62182394480263,-40.18,0.2750556807106013,16.869840910542983,0.08662808553772414,928.8451450811448,428.8451450811448
16,DIP20_DIR_P1T5A10S50_P2T5A10S60_360m,NO,DIP_BUY,94,20.212765957446805,44.215205736290606,-50.14999999999999,0.2663501644550993,15.479650058678626,0.11114563676358435,915.6229339211329,415.6229339211329
