strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_10usd
FAST_TP80_SL25,jupiter,120,raw,102,36.3,1.3,-18.27,13.26
FAST_TP80_SL25,jupiter,120,median_3,102,39.2,2.36,-15.02,24.04
FAST_TP80_SL25,jupiter,120,median_5,102,39.2,1.67,-14.34,17.02
FAST_TP80_SL25,jupiter,120,winsor_p95,102,37.3,1.54,-16.49,15.72
FAST_TP80_SL25,jupiter,120,dual_confirm,102,39.2,2.49,-14.81,25.4
FAST_TP80_SL25,jupiter,120,ema_fast,102,39.2,2.53,-15.02,25.81
FAST_TP80_SL25,jupiter,120,ema_slow,102,42.2,3.49,-10.98,35.6
FAST_TP80_SL25,jupiter,120,hysteresis,102,44.1,-1.08,-6.79,-11.02
FAST_TP80_SL25,jupiter,120,volume_gated,102,36.3,1.3,-18.27,13.26
FAST_TP80_SL25,dexscreener,60,raw,102,35.3,-1.6,-25.22,-16.35
FAST_TP80_SL25,dexscreener,60,median_3,102,36.3,-0.01,-18.79,-0.11
FAST_TP80_SL25,dexscreener,60,median_5,102,37.3,1.24,-16.3,12.63
FAST_TP80_SL25,dexscreener,60,winsor_p95,102,36.3,-1.03,-23.93,-10.49
FAST_TP80_SL25,dexscreener,60,dual_confirm,102,38.2,2.32,-16.3,23.7
FAST_TP80_SL25,dexscreener,60,ema_fast,102,36.3,-0.24,-18.79,-2.5
FAST_TP80_SL25,dexscreener,60,ema_slow,102,42.2,3.31,-10.94,33.73
FAST_TP80_SL25,dexscreener,60,hysteresis,102,43.1,-1.06,-7.16,-10.86
FAST_TP80_SL25,dexscreener,60,volume_gated,102,35.3,-1.6,-25.22,-16.35
FAST_TP80_SL25,dexscreener,120,raw,102,36.3,0.79,-16.47,8.02
FAST_TP80_SL25,dexscreener,120,median_3,102,37.3,0.54,-16.24,5.5
FAST_TP80_SL25,dexscreener,120,median_5,102,38.2,0.7,-14.37,7.15
FAST_TP80_SL25,dexscreener,120,winsor_p95,102,36.3,0.22,-16.47,2.23
FAST_TP80_SL25,dexscreener,120,dual_confirm,102,37.3,0.54,-16.24,5.5
FAST_TP80_SL25,dexscreener,120,ema_fast,102,37.3,0.82,-16.3,8.33
FAST_TP80_SL25,dexscreener,120,ema_slow,102,42.2,2.82,-10.94,28.78
FAST_TP80_SL25,dexscreener,120,hysteresis,102,43.1,-0.97,-6.77,-9.86
FAST_TP80_SL25,dexscreener,120,volume_gated,102,36.3,0.79,-16.47,8.02
FAST_TP80_SL25,both,60,raw,102,36.3,-0.4,-25.22,-4.06
FAST_TP80_SL25,both,60,median_3,102,37.3,0.77,-21.85,7.86
FAST_TP80_SL25,both,60,median_5,102,38.2,1.39,-16.49,14.13
FAST_TP80_SL25,both,60,winsor_p95,102,38.2,0.89,-20.66,9.04
FAST_TP80_SL25,both,60,dual_confirm,102,38.2,2.17,-18.27,22.11
FAST_TP80_SL25,both,60,ema_fast,102,39.2,1.97,-18.27,20.05
FAST_TP80_SL25,both,60,ema_slow,102,42.2,3.41,-12.12,34.8
FAST_TP80_SL25,both,60,hysteresis,102,44.1,-1.2,-8.35,-12.26
FAST_TP80_SL25,both,60,volume_gated,102,36.3,-0.4,-25.22,-4.06
FAST_TP80_SL25,both,120,raw,102,36.3,1.15,-18.27,11.7
FAST_TP80_SL25,both,120,median_3,102,39.2,2.14,-15.02,21.87
FAST_TP80_SL25,both,120,median_5,102,39.2,1.51,-14.34,15.35
FAST_TP80_SL25,both,120,winsor_p95,102,37.3,1.34,-16.49,13.65
FAST_TP80_SL25,both,120,dual_confirm,102,39.2,2.28,-14.81,23.23
FAST_TP80_SL25,both,120,ema_fast,102,39.2,2.39,-15.02,24.36
FAST_TP80_SL25,both,120,ema_slow,102,42.2,3.13,-10.98,31.92
FAST_TP80_SL25,both,120,hysteresis,102,44.1,-1.18,-6.79,-12.02
FAST_TP80_SL25,both,120,volume_gated,102,36.3,1.15,-18.27,11.7
BE25_TP80_SL30,jupiter,60,raw,102,34.3,0.69,-1.2,7.04
BE25_TP80_SL30,jupiter,60,median_3,102,38.2,2.47,-1.2,25.18
BE25_TP80_SL30,jupiter,60,median_5,102,38.2,3.81,-1.2,38.86
BE25_TP80_SL30,jupiter,60,winsor_p95,102,34.3,-0.32,-1.2,-3.31
BE25_TP80_SL30,jupiter,60,dual_confirm,102,35.3,2.1,-1.12,21.47
BE25_TP80_SL30,jupiter,60,ema_fast,102,37.3,1.82,-1.2,18.59
BE25_TP80_SL30,jupiter,60,ema_slow,102,41.2,2.83,-1.39,28.92
BE25_TP80_SL30,jupiter,60,hysteresis,102,36.3,-0.09,-0.99,-0.92
BE25_TP80_SL30,jupiter,60,volume_gated,102,34.3,0.69,-1.2,7.04
BE25_TP80_SL30,jupiter,120,raw,102,34.3,1.71,-1.2,17.41
BE25_TP80_SL30,jupiter,120,median_3,102,37.3,3.88,-1.2,39.52
BE25_TP80_SL30,jupiter,120,median_5,102,35.3,3.04,-1.2,31.05
BE25_TP80_SL30,jupiter,120,winsor_p95,102,35.3,1.14,-1.2,11.67
BE25_TP80_SL30,jupiter,120,dual_confirm,102,34.3,1.46,-1.2,14.89
BE25_TP80_SL30,jupiter,120,ema_fast,102,37.3,2.63,-1.2,26.85
BE25_TP80_SL30,jupiter,120,ema_slow,102,38.2,2.59,-1.2,26.42
BE25_TP80_SL30,jupiter,120,hysteresis,102,36.3,-0.09,-0.99,-0.89
BE25_TP80_SL30,jupiter,120,volume_gated,102,34.3,1.71,-1.2,17.41
BE25_TP80_SL30,dexscreener,60,raw,102,35.3,0.29,-0.99,2.91
BE25_TP80_SL30,dexscreener,60,median_3,102,38.2,1.61,-1.12,16.46
BE25_TP80_SL30,dexscreener,60,median_5,102,38.2,2.69,-1.2,27.49
BE25_TP80_SL30,dexscreener,60,winsor_p95,102,35.3,-0.4,-1.12,-4.06
BE25_TP80_SL30,dexscreener,60,dual_confirm,102,37.3,1.67,-0.74,17.04
BE25_TP80_SL30,dexscreener,60,ema_fast,102,37.3,1.2,-1.39,12.29
BE25_TP80_SL30,dexscreener,60,ema_slow,102,41.2,1.95,-1.68,19.88
BE25_TP80_SL30,dexscreener,60,hysteresis,102,37.3,0.09,-0.68,0.89
BE25_TP80_SL30,dexscreener,60,volume_gated,102,35.3,0.29,-0.99,2.91
BE25_TP80_SL30,dexscreener,120,raw,102,35.3,1.13,-0.99,11.49
BE25_TP80_SL30,dexscreener,120,median_3,102,38.2,3.66,-1.12,37.33
BE25_TP80_SL30,dexscreener,120,median_5,102,37.3,2.81,-1.03,28.63
BE25_TP80_SL30,dexscreener,120,winsor_p95,102,36.3,0.95,-1.2,9.7
BE25_TP80_SL30,dexscreener,120,dual_confirm,102,36.3,1.35,-0.89,13.74
BE25_TP80_SL30,dexscreener,120,ema_fast,102,37.3,2.62,-1.12,26.72
BE25_TP80_SL30,dexscreener,120,ema_slow,102,40.2,3.06,-0.99,31.24
BE25_TP80_SL30,dexscreener,120,hysteresis,102,37.3,0.23,-0.68,2.33
BE25_TP80_SL30,dexscreener,120,volume_gated,102,35.3,1.13,-0.99,11.49
BE25_TP80_SL30,both,60,raw,102,33.3,0.04,-1.2,0.44
BE25_TP80_SL30,both,60,median_3,102,37.3,1.76,-1.2,17.92
BE25_TP80_SL30,both,60,median_5,102,37.3,2.87,-1.2,29.27
BE25_TP80_SL30,both,60,winsor_p95,102,33.3,-0.97,-1.2,-9.91
BE25_TP80_SL30,both,60,dual_confirm,102,34.3,1.46,-1.12,14.87
BE25_TP80_SL30,both,60,ema_fast,102,36.3,1.11,-1.2,11.34
BE25_TP80_SL30,both,60,ema_slow,102,41.2,2.56,-1.39,26.09
BE25_TP80_SL30,both,60,hysteresis,102,35.3,-0.74,-0.99,-7.52
BE25_TP80_SL30,both,60,volume_gated,102,33.3,0.04,-1.2,0.44
BE25_TP80_SL30,both,120,raw,102,33.3,1.18,-1.2,12.06
BE25_TP80_SL30,both,120,median_3,102,36.3,3.06,-1.2,31.19
BE25_TP80_SL30,both,120,median_5,102,34.3,2.52,-1.2,25.7
BE25_TP80_SL30,both,120,winsor_p95,102,34.3,0.62,-1.2,6.33
BE25_TP80_SL30,both,120,dual_confirm,102,33.3,0.94,-1.2,9.54
BE25_TP80_SL30,both,120,ema_fast,102,36.3,2.11,-1.2,21.51
BE25_TP80_SL30,both,120,ema_slow,102,38.2,2.5,-1.2,25.5
BE25_TP80_SL30,both,120,hysteresis,102,35.3,-0.65,-0.99,-6.68
BE25_TP80_SL30,both,120,volume_gated,102,33.3,1.18,-1.2,12.06
BE30_TP100_SL30,jupiter,60,raw,102,37.3,0.81,-1.39,8.22
BE30_TP100_SL30,jupiter,60,median_3,102,39.2,2.37,-1.66,24.15
BE30_TP100_SL30,jupiter,60,median_5,102,40.2,3.52,-1.12,35.88
BE30_TP100_SL30,jupiter,60,winsor_p95,102,37.3,0.35,-4.34,3.56
BE30_TP100_SL30,jupiter,60,dual_confirm,102,38.2,2.1,-1.12,21.44
BE30_TP100_SL30,jupiter,60,ema_fast,102,38.2,2.27,-1.39,23.11
BE30_TP100_SL30,jupiter,60,ema_slow,102,41.2,2.49,-1.92,25.4
BE30_TP100_SL30,jupiter,60,hysteresis,102,39.2,-0.26,-0.99,-2.7
BE30_TP100_SL30,jupiter,60,volume_gated,102,37.3,0.81,-1.39,8.22
BE30_TP100_SL30,jupiter,120,raw,102,37.3,1.58,-1.39,16.1
BE30_TP100_SL30,jupiter,120,median_3,102,40.2,4.45,-1.39,45.38
BE30_TP100_SL30,jupiter,120,median_5,102,39.2,3.35,-1.39,34.17
BE30_TP100_SL30,jupiter,120,winsor_p95,102,39.2,4.09,-2.96,41.75
BE30_TP100_SL30,jupiter,120,dual_confirm,102,37.3,1.7,-1.39,17.37
BE30_TP100_SL30,jupiter,120,ema_fast,102,39.2,3.73,-1.39,38.1
BE30_TP100_SL30,jupiter,120,ema_slow,102,40.2,3.32,-1.39,33.82
BE30_TP100_SL30,jupiter,120,hysteresis,102,39.2,-0.26,-0.99,-2.67
BE30_TP100_SL30,jupiter,120,volume_gated,102,37.3,1.58,-1.39,16.1
BE30_TP100_SL30,dexscreener,60,raw,102,36.3,0.28,-1.39,2.86
BE30_TP100_SL30,dexscreener,60,median_3,102,39.2,1.35,-2.33,13.78
BE30_TP100_SL30,dexscreener,60,median_5,102,39.2,2.26,-1.68,23.1
BE30_TP100_SL30,dexscreener,60,winsor_p95,102,36.3,0.09,-4.18,0.9
BE30_TP100_SL30,dexscreener,60,dual_confirm,102,38.2,1.17,-1.03,11.89
BE30_TP100_SL30,dexscreener,60,ema_fast,102,37.3,1.13,-4.18,11.5
BE30_TP100_SL30,dexscreener,60,ema_slow,102,41.2,1.86,-4.18,18.97
BE30_TP100_SL30,dexscreener,60,hysteresis,102,38.2,-0.59,-0.99,-6.02
BE30_TP100_SL30,dexscreener,60,volume_gated,102,36.3,0.28,-1.39,2.86
BE30_TP100_SL30,dexscreener,120,raw,102,36.3,0.88,-1.39,8.95
BE30_TP100_SL30,dexscreener,120,median_3,102,39.2,3.73,-1.68,38.05
BE30_TP100_SL30,dexscreener,120,median_5,102,39.2,3.01,-1.39,30.72
BE30_TP100_SL30,dexscreener,120,winsor_p95,102,38.2,4.2,-3.45,42.83
BE30_TP100_SL30,dexscreener,120,dual_confirm,102,37.3,1.09,-1.12,11.09
BE30_TP100_SL30,dexscreener,120,ema_fast,102,38.2,3.17,-2.33,32.37
BE30_TP100_SL30,dexscreener,120,ema_slow,102,40.2,3.46,-1.12,35.28
BE30_TP100_SL30,dexscreener,120,hysteresis,102,38.2,-0.45,-0.99,-4.58
BE30_TP100_SL30,dexscreener,120,volume_gated,102,36.3,0.88,-1.39,8.95
BE30_TP100_SL30,both,60,raw,102,37.3,0.53,-1.39,5.4
BE30_TP100_SL30,both,60,median_3,102,39.2,2.05,-1.66,20.95
BE30_TP100_SL30,both,60,median_5,102,40.2,3.24,-1.12,33.06
BE30_TP100_SL30,both,60,winsor_p95,102,37.3,0.33,-1.66,3.34
BE30_TP100_SL30,both,60,dual_confirm,102,38.2,1.83,-1.12,18.62
BE30_TP100_SL30,both,60,ema_fast,102,38.2,1.99,-1.39,20.29
BE30_TP100_SL30,both,60,ema_slow,102,41.2,2.21,-1.92,22.57
BE30_TP100_SL30,both,60,hysteresis,102,39.2,-0.54,-0.99,-5.52
BE30_TP100_SL30,both,60,volume_gated,102,37.3,0.53,-1.39,5.4
BE30_TP100_SL30,both,120,raw,102,37.3,1.42,-1.39,14.53
BE30_TP100_SL30,both,120,median_3,102,40.2,4.3,-1.39,43.82
